Average hand positions in 3D per letter
========================================

[A]
landmark,x,y,z
10,0.004023,-0.713239,-0.109986
11,0.003835,-0.854715,-0.157183
12,0.003301,-0.976240,-0.189073
13,0.001600,-0.455695,-0.065336
14,0.001357,-0.657376,-0.145699
15,0.000811,-0.785308,-0.222584
16,0.000468,-0.906498,-0.268963
17,-0.000013,-0.372635,-0.068458
18,-0.001030,-0.473657,-0.162418
19,-0.001524,-0.415184,-0.193601
20,-0.001798,-0.347622,-0.205271

[X]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,-0.012907,-0.092291,-0.458010
2,-0.028561,-0.308302,-0.506885
3,-0.043316,-0.444583,-0.431225
4,-0.050917,-0.561461,-0.293699
5,-0.014633,-1.065776,-0.295748
6,-0.021302,-1.606013,-0.367598
7,-0.032356,-1.613419,-0.365848
8,-0.040174,-1.464620,-0.331533
9,-0.015789,-0.978133,-0.030890
10,-0.035772,-1.062886,-0.121743
11,-0.040548,-0.739007,-0.129388
12,-0.036756,-0.549170,-0.086070
13,-0.017222,-0.844398,0.188221
14,-0.035925,-0.866156,0.027490
15,-0.037381,-0.624420,-0.057328
16,-0.032644,-0.532802,-0.046831
17,-0.018470,-0.733970,0.382125
18,-0.032430,-0.731183,0.206884
19,-0.034867,-0.564586,0.116039
20,-0.031508,-0.470272,0.113397

[Y]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,-0.000197,-0.380408,-0.194886
2,0.002126,-0.936138,-0.290984
3,0.004029,-1.402871,-0.408159
4,0.001875,-1.711324,-0.481190
5,0.004607,-1.401065,-0.086218
6,-0.000656,-1.769655,-0.380765
7,-0.001869,-1.322319,-0.511015
8,-0.000805,-0.987602,-0.527563
9,0.005397,-1.333439,-0.097610
10,0.000260,-1.652346,-0.479283
11,-0.001001,-1.142931,-0.590565
12,-0.000043,-0.816665,-0.567706
13,0.006560,-1.220749,-0.154741
14,0.002456,-1.561507,-0.512523
15,0.000089,-1.120371,-0.511988
16,0.000686,-0.807300,-0.394969
17,0.007562,-1.088341,-0.226917
18,0.009920,-1.554873,-0.406307
19,0.010188,-1.849087,-0.429331
20,0.009709,-2.155543,-0.393772

[Z]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.002686,-0.402798,-0.370571
2,0.001234,-0.904794,-0.469536
3,-0.003977,-1.056148,-0.508479
4,-0.008734,-0.969020,-0.514041
5,-0.004738,-1.298642,-0.256112
6,-0.010938,-1.682250,-0.501295
7,-0.014807,-1.860740,-0.645964
8,-0.018234,-2.024599,-0.740358
9,-0.007919,-1.005127,-0.182694
10,-0.013160,-1.039070,-0.550778
11,-0.008736,-0.728011,-0.638454
12,-0.005518,-0.650148,-0.601454
13,-0.010241,-0.714605,-0.158311
14,-0.015402,-0.686539,-0.556249
15,-0.010470,-0.443367,-0.534882
16,-0.006742,-0.435927,-0.409057
17,-0.011987,-0.425936,-0.163303
18,-0.015587,-0.376370,-0.456690
19,-0.011808,-0.243058,-0.445589
20,-0.008628,-0.254011,-0.360616
